user_id,item_id,rating_real
AFG32E3BEWJPLEB3JU532HNH633A,B009D99R0I,1.0
AFMBBTIKTJK2PZM7JOBAGB4MHJBQ,B00637B2UQ,5.0
AFZ5D53VOZXZ5IJUOTA7IZ7KH6BA,B09CN5LBGK,4.0
AFADLLV5WAUEU6TQD3FRN73T4LVA,B00DMCV7K0,5.0
AEP77ZARV3ZBD4T5WJHLIWKGTBLQ,B0053HWAWQ,4.0
AG4XL4OPO4CEFFROMIYAG3CJW3SQ,B07NKP3JL4,3.0
AHKCWPWCPBJOXPQ6SBQCG4V7EHXQ,B00V9525BC,4.0
AFMKX4E3KAIDZHROO645SXIDKWRA,B08HL999ZD,4.0
AGVT3EGGJM52G6BBHAU7XIETSEGA,B00FL42BVG,4.0
AH2DI3OQ47PTNE5KXMGPV2DTV7ZA,B000FC2MAO,5.0
AFXW7G2KUM66LMEIGFUMFDFISL6A,B0177XH2IK,5.0
AHJY4WSM726VBC7QYN2NAYJK2OSA,B000OVLKMM,5.0
AFTNKX7BM5NHQCUYXQP37U7WKT5A,B07JFP39B5,5.0
AHTNFLYE46ORKUBPT7M7C7W2IW2Q,B007SRWAEW,3.0
AHC54ARC2WZHEDRLN7AP5V7HDORA,B08LD2HT9F,5.0
AENRLQBQOUYNK54V4O3BWN755JEA,B00FNWRSCI,5.0
AFLS74VH3ESTGTSRUHGJ777FT2IA,B00F240FDG,5.0
AHJF4ZPTIZ65FQOBNTVYWL25ZZRQ,B00FYW9VHC,4.0
AGNO6XKGOG5QYEDMTGJB5CXYPPDQ,B002MQYOFW,5.0
AHABWOELQUJHACKDPUEIMGXP42UA,B004YDSL9Q,4.0
AF4KLM24GDPXFAKAZ67WSHPMPT4Q,B07MV8SWZF,3.0
AF5CQD62QUX25J5PQ3QHY6CZ4PCQ,B004XDACV2,3.0
AF3KDV27OVIYJQ3TST7HBFSHWG3A,B007R6WCJC,5.0
AEGIEOJH2JG5ZJ7NR5BE52SARMWA,B01MFGX5GI,5.0
AHH5SSHOGIJOCX2VQ2YF7OZZ7HTQ,B00JVUQ2H0,4.0
AGZD6Q7XA63KLBUWSSRSXZ6E52IQ,B0759R96M5,5.0
AGWHPOF22DJDVR57JYTLC6W7OBTA,B00NQBXS6I,3.0
AHNJV2R7XFL2D7FC2A6MI72MGLXA,B01KSW4QJA,4.0
AHO5DQVPUCYPBZ6CTPBQVR7WWPLA,B00C7SKV1G,3.0
AHVL654EAUOCPNSIQTEIZ4SPZKOQ,B003UV988Q,5.0
AEODWWKONVOFG4BLCB63RFUHMIBA,B00PWMS3OG,5.0
AEOOUFT6RGZU6TNVC6OSDVX7D2SQ,B00IU087O8,4.0
AEYUSOOZMDJWSJL3PTDZMLOGBPQA,B08228PWK2,4.0
AFSD37NUFMXDP4FMXTJENTHABZ5A,B00KSVVFC8,5.0
AHUW6BD2WZC6NQVAIL7PV4CZ6DPA,B01LXBXC97,5.0
AEAZN3UC332RW3DTWTQHMJGERP5A,B003H4I58K,3.0
AGJIPTNH4FRDNT4T5G5CILHTVU5Q,B01LZF038I,5.0
AHSK6AM47S2TMDMXUQGBGXK44ZOQ,B00TM5JSR0,5.0
AE6PY6KK7SCO4D3RYO5CS64HZSUQ,B00JYWUHO4,5.0
AFG524EZTK34OWZDSTFORGNYUVLA,B00427ZI2C,5.0
AEC7H3QKUQDTMWKYCSRKU7YJLV6Q,B005ECT8DO,4.0
AFYMIO4PSYFBRJ4ORV47AEW4KBNQ,B00F0XL3B2,5.0
AEWEVNEIILXWJCOVHMI3UJYZEXLQ,B075TV5BHW,5.0
AG4JKD2QTIQ2YINEDV6KRNGG32UQ,B01FCZ5NYA,5.0
AG26BEAXLP5UJFVQXUE4OXMSRHMQ,B00R52OLSI,5.0
AEVUQAQRFMOGUCSBV7EZ5C2RS7FQ,B005HXFVGS,3.0
AF6AMLPSBVB7A6A2ZTWIJLD2BNVA,B00H0V1TXO,5.0
AGZC6XHOI4XSMXXDKHTULSZRETRA,B098PW8NP8,5.0
AFNASFC5GGQ2K37IQ5WJUEMVLBBA,B07Y3145PQ,4.0
AHM2DP6QEBLN6U53WTADKEWWGLXQ,B00X9UO7IY,5.0
AHBG4RG2QETGM66H2N5HKWC7RX5Q,B008N1YI5Q,5.0
AE22PJ54OVIRX3I6KSLMPRHPHA4A,B00FGKFY28,5.0
AH3DSXYQ6SP5BP42HD6Q452JW7UQ,B01NCQOPFD,5.0
AGPXFQKMB2K5ZBGWIQZPTWVU6HPQ,B0976V6YSL,1.0
AH2YHBWIWBNKY222EFKFQEFKECBQ,B01GGL89P4,5.0
AHRBGF4EXZSFDNRQ2OVYN3FJQKVA,B00H4E568Q,2.0
AEL7HU6CTQGFLMDBM4TTAB2N7DKA,B01LY7FD0D,4.0
AE3YJE3MCP3FQ2D7JXCJPFB6EZGQ,B00PP3AHGE,4.0
AF4ITZIMMSIC5A22UPOXBHAOEMCA,B07KPNK29P,5.0
AEVMRF5RSZ2AYNTOFRJ4MY3UAMKQ,B005SZ132Q,5.0
AHMWLNUNA5M7BXNRUG77XNSJH5ZQ,B09QMHZ53K,5.0
AGZYPKDPUIHFIVROMSAYCNUDZQFQ,B0055WY7O8,4.0
AFM5SAUF7BYGUVNCYWZWIRM6ENNA,B074H8NFDF,4.0
AFDKD4YMKODJNJA7ACCUQAX4EKJA,B008MMQ9XU,5.0
AGGHNZZVBZJE4VDB3VVT2RYHO2VA,B00AYJIJF0,4.0
AEUFKMIM2OO4OTXE6OHGKZPUWCFA,B07282K7L7,5.0
AFZ7BSUHLTLZXQIZL7YV5W3VWXQA,B00DB3DBGI,5.0
AENOPNVA4HE4IFZNYKKUFIDMQOZQ,B003P9XMFI,5.0
AFFQZODR2UGQ3RVV4VNOKAHKMBHA,B086JMSSVH,2.0
AELECHGODACESADLL5CPF6GSY3HQ,B07FSBSMKT,5.0
AFEH4QFZ3Z4QKIHUO3LG6G3ABGSQ,B07B89ZBZC,4.0
AEADVDMN3O5RKCDT2ELIZOFGDZNA,B00BC2BCI4,4.0
AETFB7U36YJ2GN2Q3ACNOTGREDXA,B075GVYSTS,5.0
AFGZCZBFB434AGIGP25FOMW3PJPA,B00K2EOONI,4.0
AFSHJ5RIBFG7B4CQ5SGWHO5ENNRA,B00ZGEWUWQ,5.0
AG6FNYDBDOTF2IPMILHKNYBYRUHA,B0722YH8B6,5.0
AGV3FQD54QH2ZPKSUUIJR4ODVTWQ,B07C75GRLY,4.0
AHSY3H4375T4ZIQ3KOX7I6JFUQZA,B01E2MQUVY,4.0
AGXCZFCCYNHGIKCJZPPWVUGO632Q,B004477WN8,4.0
AEA4MHIQHQYWWGDEWAVMYGZBF53Q,B00IUA8IN8,5.0
AFTVEGGKMVWNAFDIMKUMAEEE2ENA,B0089LOG02,2.0
AGQLDL2S5RTL374QIW5CFFK43SAQ,B01N1UN91W,5.0
AHDFZX7NYTO7XY35VCANLRWLGTDA,B073TKJ5S8,4.0
AHDFYA5HY33H6OCZWX3MRY2FVQZA,B004GKNLMY,4.0
AHM7G5GFTX6JMZ5QJ5SXNTX7U4RA,B002MQYOFW,4.0
AEXT726BWIXO22CCZQZVQ23HGNQA,B0018QQQK8,5.0
